Vuosi	Luku	Momentti	Nettokertymä
1998	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Tulo- ja varallisuusvero	-9524791726,7031
1998	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Korkotulojen lähdevero	-115480267,5181
1998	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Perintö- ja lahjavero	-284097926,3555
1998	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-8352236073,9415
1998	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-293058032,5192
1998	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-75596691,8261
1998	11.08. Valmisteverot	11.08.01. Tupakkavero	-567882719,6995
1998	11.08. Valmisteverot	11.08.02. Makeisvero	-31215923,2744
1998	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-1208709427,8818
1998	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-30062365,1311
1998	11.08. Valmisteverot	11.08.07. Energiaverot	-2574278589,5087
1998	11.10. Muut verot	11.10.01. Leimavero	-42806725,7158
1998	11.10. Muut verot	11.10.03. Autovero	-884554252,6385
1998	11.10. Muut verot	11.10.04. Moottoriajoneuvovero	-175220073,3873
1998	11.10. Muut verot	11.10.05. Varainsiirtovero	-426381133,0181
1998	11.10. Muut verot	11.10.06. Arpajaisvero	-72174006,1859
1998	11.10. Muut verot	11.10.07. Ajoneuvovero	-201547754,996
1998	11.10. Muut verot	11.10.08. Jätevero	-30685730,9364
1998	11.19. Muut veronluonteiset tulot	11.19.02. Lästimaksut	-668398,1615
1998	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-3415955,1056
1998	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	3060590,523
1999	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Tulo- ja varallisuusvero	-10301653440,0352
1999	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Korkotulojen lähdevero	-93600898,0596
1999	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Perintö- ja lahjavero	-321292848,9001
1999	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-8969246701,0639
1999	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-311941053,4534
1999	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-79062636,7833
1999	11.08. Valmisteverot	11.08.01. Tupakkavero	-566289031,8127
1999	11.08. Valmisteverot	11.08.02. Makeisvero	-30789744,0148
1999	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-1253613249,9154
1999	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-32557941,8338
1999	11.08. Valmisteverot	11.08.07. Energiaverot	-2651502862,7234
1999	11.10. Muut verot	11.10.01. Leimavero	11598830,3908
1999	11.10. Muut verot	11.10.03. Autovero	-1028536024,6227
1999	11.10. Muut verot	11.10.04. Moottoriajoneuvovero	-185210168,2364
1999	11.10. Muut verot	11.10.05. Varainsiirtovero	-434573151,9577
1999	11.10. Muut verot	11.10.06. Arpajaisvero	-75715835,1876
1999	11.10. Muut verot	11.10.07. Ajoneuvovero	-209449222,0821
1999	11.10. Muut verot	11.10.08. Jätevero	-34031237,8296
1999	11.19. Muut veronluonteiset tulot	11.19.02. Lästimaksut	-657991,8698
1999	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-3156978,7478
1999	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	8869024,7216
2000	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Tulo- ja varallisuusvero	-13787971060,0111
2000	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Korkotulojen lähdevero	-92222544,7742
2000	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Perintö- ja lahjavero	-368373162,7134
2000	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-9470090689,9777
2000	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-337127508,104
2000	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-85144808,8343
2000	11.08. Valmisteverot	11.08.01. Tupakkavero	-575831049,5095
2000	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-1245470459,9601
2000	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-31851827,7824
2000	11.08. Valmisteverot	11.08.07. Energiaverot	-2596046932,3362
2000	11.10. Muut verot	11.10.01. Leimavero	19904336,1471
2000	11.10. Muut verot	11.10.03. Autovero	-1058663813,875
2000	11.10. Muut verot	11.10.04. Moottoriajoneuvovero	-180703535,0139
2000	11.10. Muut verot	11.10.05. Varainsiirtovero	-415328468,0417
2000	11.10. Muut verot	11.10.06. Arpajaisvero	-79477817,7282
2000	11.10. Muut verot	11.10.07. Ajoneuvovero	-219662208,9415
2000	11.10. Muut verot	11.10.08. Jätevero	-33263431,7403
2000	11.19. Muut veronluonteiset tulot	11.19.02. Lästimaksut	-655021,5028
2000	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-3264944,0859
2000	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	9747923,6698
2001	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Tulo- ja varallisuusvero	-12140212517,437
2001	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Korkotulojen lähdevero	-217776792,8344
2001	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Perintö- ja lahjavero	-384808985,2869
2001	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-9776613198,4855
2001	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-355337971,3778
2001	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-93250968,8566
2001	11.08. Valmisteverot	11.08.01. Tupakkavero	-597062923,6442
2001	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-1289940638,4077
2001	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-33050610,9426
2001	11.08. Valmisteverot	11.08.07. Energiaverot	-2652312991,6764
2001	11.10. Muut verot	11.10.01. Leimavero	-2086201,1797
2001	11.10. Muut verot	11.10.03. Autovero	-922211548,525
2001	11.10. Muut verot	11.10.04. Moottoriajoneuvovero	-208470079,3646
2001	11.10. Muut verot	11.10.05. Varainsiirtovero	-340478041,5609
2001	11.10. Muut verot	11.10.06. Arpajaisvero	-91091500,6703
2001	11.10. Muut verot	11.10.07. Ajoneuvovero	-226766959,0328
2001	11.10. Muut verot	11.10.08. Jätevero	-31337287,2634
2001	11.19. Muut veronluonteiset tulot	11.19.02. Lästimaksut	-758780,671
2001	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-3115380,2813
2001	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	2111929,758
2002	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Tulo- ja varallisuusvero	-12518738712,89
2002	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Korkotulojen lähdevero	-267974880,32
2002	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Perintö- ja lahjavero	-451590982,74
2002	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-9755565953,18
2002	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-373742564,83
2002	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-103086028,96
2002	11.08. Valmisteverot	11.08.01. Tupakkavero	-599964325,56
2002	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-1338238877,98
2002	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-34800434,77
2002	11.08. Valmisteverot	11.08.07. Energiaverot	-2756404368,17
2002	11.10. Muut verot	11.10.01. Leimavero	-1487422,13
2002	11.10. Muut verot	11.10.03. Autovero	-1022855614,29
2002	11.10. Muut verot	11.10.04. Moottoriajoneuvovero	-218145702,93
2002	11.10. Muut verot	11.10.05. Varainsiirtovero	-338472150,58
2002	11.10. Muut verot	11.10.06. Arpajaisvero	-106510456,13
2002	11.10. Muut verot	11.10.07. Ajoneuvovero	-233217978,9
2002	11.10. Muut verot	11.10.08. Jätevero	-31838933,83
2002	11.19. Muut veronluonteiset tulot	11.19.02. Lästimaksut	-1033926,88
2002	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-3642154,38
2002	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	-584585,24
2003	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Tulo- ja varallisuusvero	-11811901256,87
2003	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Korkotulojen lähdevero	-216068569,27
2003	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Perintö- ja lahjavero	-411290207,82
2003	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-10264105058,12
2003	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-396248130,06
2003	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-108237187,34
2003	11.08. Valmisteverot	11.08.01. Tupakkavero	-591953054,06
2003	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-1363526972,92
2003	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-37475084,43
2003	11.08. Valmisteverot	11.08.07. Energiaverot	-2865449571,95
2003	11.10. Muut verot	11.10.03. Autovero	-1206651783,1
2003	11.10. Muut verot	11.10.04. Moottoriajoneuvovero	-230132991,01
2003	11.10. Muut verot	11.10.05. Varainsiirtovero	-336883844,19
2003	11.10. Muut verot	11.10.06. Arpajaisvero	-119759107,94
2003	11.10. Muut verot	11.10.07. Ajoneuvovero	-243259859,95
2003	11.10. Muut verot	11.10.08. Jätevero	-40952616,95
2003	11.19. Muut veronluonteiset tulot	11.19.02. Lästimaksut	-865041,12
2003	11.19. Muut veronluonteiset tulot	11.19.03. Ratavero	-12582841
2003	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-2793886,95
2003	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	-2619255,79
2004	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Tulo- ja varallisuusvero	-12299906659,47
2004	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Korkotulojen lähdevero	-170005875,8
2004	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Perintö- ja lahjavero	-471552819,55
2004	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-10605034367,53
2004	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-428359909,09
2004	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-109500419,87
2004	11.08. Valmisteverot	11.08.01. Tupakkavero	-600495335,64
2004	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-1070784817,5
2004	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-39127018,24
2004	11.08. Valmisteverot	11.08.07. Energiaverot	-2901202897,46
2004	11.10. Muut verot	11.10.03. Autovero	-1234906993,91
2004	11.10. Muut verot	11.10.05. Varainsiirtovero	-419327492,86
2004	11.10. Muut verot	11.10.06. Arpajaisvero	-126770144,54
2004	11.10. Muut verot	11.10.07. Ajoneuvovero	-641800562,28
2004	11.10. Muut verot	11.10.08. Jätevero	-42274142,49
2004	11.19. Muut veronluonteiset tulot	11.19.02. Lästimaksut	-857660,81
2004	11.19. Muut veronluonteiset tulot	11.19.03. Ratavero	-16306150
2004	11.19. Muut veronluonteiset tulot	11.19.04. Viestintämarkkinamaksu ja teleurakointimaksu	-2528135
2004	11.19. Muut veronluonteiset tulot	11.19.08. Öljyjätemaksu	-3401689,93
2004	11.19. Muut veronluonteiset tulot	11.19.09. Muut verotulot	-6457920,78
2005	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.01. Tulo- ja varallisuusvero	-12715302724,33
2005	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.02. Korkotulojen lähdevero	-163659361,58
2005	11.01. Tulon ja varallisuuden perusteella kannettavat verot	11.01.03. Perintö- ja lahjavero	-486143655,37
2005	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.01. Arvonlisävero	-11280500290,9
2005	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.02. Eräistä vakuutusmaksuista suoritettava vero	-464497499,69
2005	11.04. Liikevaihdon perusteella kannettavat verot ja maksut	11.04.03. Apteekkivero	-116018492,46
2005	11.08. Valmisteverot	11.08.01. Tupakkavero	-607173418,2
2005	11.08. Valmisteverot	11.08.04. Alkoholijuomavero	-972974697,77
2005	11.08. Valmisteverot	11.08.05. Virvoitusjuomavero	-35276429,61
2005	11.08. Valmisteverot	11.08.07. Energiaverot	-2885153356,62
2005	11.08. Valmisteverot	11.08.08. Juomapakkausten ympäristöohjaukseen liittyvä vero	-21685572,18
2005	11.10. Muut verot	11.10.03. Autovero	-1277064449,14
2005	11.10. Muut verot	11.10.05. Varainsiirtovero	-541946193,69
2005	11.10. Muut verot	11.10.06. Arpajaisvero	-125628235,24
2005	11.10. Muut verot	11.10.07. Ajoneuvovero	-536251180,22
2005	11.10. Muut verot	11.10.08. Jätevero	-53347151,18
2005	11.19. Muut veronluonteiset tulot	11.19.02. Lästimaksut	-603451,99
2005	11.19. Muut veronluonteiset tulot	11.19.03. Ratavero	-15450800
